# entry	call_count	last_frame	exits (pc:kind,...)
0081F4	10444	1035632	00828F:0,0081F8:0
008290	1	995436	008301:0
008302	1	995448	00830B:0
00834E	44	1034184	0083A3:0
0083A4	19	1032061	008501:0
008452	2	1002029	008501:0
008502	4	1034237	00853B:0
0085AB	4	1034221	0085DA:0
0085DB	23	1034184	0085EE:0
0085EF	5	1035682	0085F9:0
0085FA	1	995423	00883C:0
00883D	1	1035733	00885D:0
00885E	20	1035737	00888F:0
008890	1	1024846	0088A9:0
0088E2	25920	1003602	0088EA:0
008918	2	1002016	008943:0
008959	2	1002016	0089EE:0
0089EF	3	1035633	008A09:0
008A60	21	1032061	008A95:0
008A96	15463	1034151	008A9D:0
008AC6	8048	1034151	008B1E:0,008ACC:0
008B1F	12078	1034151	008B2B:0
008B2C	2595	1034237	008B37:0
008B38	18716	1035632	008B3D:0
008B3E	10435	1035632	008B6C:0,008C92:0,008BB3:0
008CB7	2	1001410	008CD5:0
008CD6	2	1001410	008CF1:0
008D4B	2	1034152	008D54:0
008D55	5	1030593	008D5E:0
008D5F	9	1034211	008D90:0
008D9B	22	1024444	008DB1:0
008DB2	5	1030973	008DD2:0
008DD3	5	1030721	008DFD:0
008DFE	82	1033712	008E06:0
008E07	82	1033801	008E0F:0
008E10	8250	1035632	008E48:0
008E49	2379	1035632	00909B:0
008E59	4123	1035632	008EC5:0
008E69	2	1034270	008EC5:0
008F6B	4	1034221	008FA2:0
008FA3	2	1034270	00909B:0
00912F	32587	1035632	00913D:0
00913E	4083	1037492	00914C:0
00914D	693	1034270	009178:0
009179	17447	1035732	009196:0
0091B5	4	1034221	0091CB:0
0091CC	2818	1034269	0091F4:0,009205:0
009206	1409	1034268	009240:0
009241	21	1034184	00926A:0
00926B	23	1034269	00929D:0
0094C2	2604	1035632	0094EF:0
0094F0	2	995447	009534:0
00973D	4	1034223	009793:0
009794	4	1034223	0097A3:0
0097A4	21	1032061	0097B4:0
0097B5	1463	1034136	009800:0
009801	349	1034136	00984D:0
00984E	8056	1034151	009864:0,009878:0,009869:0
009879	14	1033666	0098D4:0,0099B4:0,0099E3:0,009902:0
0099FD	1	1011378	009A37:0
009A38	3	1011677	009AEA:0
009AEB	3	1011609	009B0E:0
009B0F	32	1032059	009B20:0
009B21	3	1011609	009B43:0
009B44	35	1032059	009B5C:0
009B5D	12	1033666	009B7F:0
009B80	40	1032059	009B85:0,009BD0:0
009BD1	8064	1034184	009C1D:0,009BE5:0,009CC3:0,009C8B:0,009C22:0,009CEC:0
009CED	19	1034152	009D35:0
009D36	2380	1035632	009D8B:0,009D4A:0,009E3C:0
009E3D	3646	1035632	009E47:0
009F6E	23175	1035632	009FC1:0
009FC2	115875	1035632	00A015:0,009FEA:0
00A873	17401	1035632	00A942:0
00A943	8237	1034151	00AA41:0
00AA42	2	1017517	00AA59:0
00AA5A	1002	1034136	00AA60:0,00AA88:0,00AA95:0
00AA96	875	1034136	00AAD9:0
00AADA	5837	1034136	00AB0A:0
00AB15	5837	1034136	00AB30:0
00AB31	25	1024444	00AB61:0
00AB62	2	1017517	00AB85:0
00AB86	3676	1035632	00AC7E:0,00AC69:0,00AB8A:0
00AC7F	2	1031976	00AC9C:0
00B11C	15469	1034150	00B122:0
00B176	15469	1034150	00B17D:0
00B30D	55	1033801	00B39F:0
00B3A0	55	1033810	00B3BA:0
00B3BB	6	1023840	00B403:0
00B404	44	1033666	00B41C:0
00B41D	5	1024974	00B435:0
00B44F	49	1033666	00B45A:0
00B45B	94	1033667	00B4DB:0
00B4DC	65	1029560	00B500:0
00B4E3	3314	1033667	00B500:0
00B670	3027	1033667	00B68C:0
00B6F3	10565	1033808	00B715:0
00B716	21130	1033809	00B73E:0,00B760:0
00B761	30932	1034151	00B76A:0,00B7CA:0,00B765:0
00B7CB	30932	1034151	00B7CF:0,00B80E:0
00B80F	15469	1034150	00B813:0,00B8AA:0
00B8AB	30932	1034151	00B8B1:0,00B8D8:0
00B8D9	8	1032035	00B947:0,00B8ED:0
00B948	30932	1034151	00B94C:0,00BA0B:0
00BA0C	14	1033811	00BB0E:0
00BB0F	3	1033666	00BB32:0
00BB6A	19898	1034151	00BDB1:0,00BB6F:0
00BDB2	426488	1034151	00BDF7:0
00BE10	8048	1034151	00BFDA:0,00BE15:0
00BFE5	355	1034129	00C00D:0
00C00E	13725	1034151	00C118:0,00C013:0
00C121	2	1002016	00C142:0
00C143	19	1032029	00C2BD:0,00C192:0
00C2BE	36	1032029	00C2EE:0
00C2EF	19	1032027	00C2FE:0
00C2FF	41178	1034151	00C30C:0
00C30D	180	1034129	00C329:0
00C32A	47	1033666	00C346:0
00C347	40968	1034151	00C356:0
00C357	83248	1034151	00C370:0
00C371	191	1032028	00C38C:0
00C38D	245	1032029	00C3F0:0
00C3F1	167	1032028	00C429:0
00C42A	202	1034129	00C435:0
00DB73	1296	1003602	00DBAD:0
00DBAE	240	1003602	00DBBF:0
00DBC0	240	1003146	00DBD3:0
00DBD4	2	1003026	00DBFB:0
00DFC6	6480	1003602	00E014:0
00E015	6480	1003602	00E076:0,00E020:0
00E1E0	1	995898	00E1EC:0
00E1ED	9	1033811	00E237:0
00E2A4	677	1033811	00E360:0,00E341:0
00E361	453	1024558	00E4AA:0
00E4AB	190	1030814	00E548:0
00E555	198	1033666	00E55B:0
00E7BA	1885	1034184	00E7C7:0
00E7EC	6	1030844	00E7F8:0
00E897	1	1024694	00E8E7:0
00E8E8	2	995442	00E923:0
00E8ED	1	1024694	00E923:0
00E9D1	2	1019079	00EA15:0
00EA16	2	1023482	00EA4D:0
00ED1F	1	1011378	00ED2E:0
00EE37	48	998480	00EE5D:0
00EF47	5	1024444	00EF9D:0
00EF9E	30932	1034151	00EFA2:0,00F03A:0
00F169	12	1030812	00F1B1:0
00F22F	8	1030974	00F2C8:0
00F2C9	3	1033811	00F379:0
00F37A	1	1033666	00F388:0
00F3A2	25	1024714	00F3BC:0
00F3BD	4	1024687	00F3D4:0
00F3D5	3	1024715	00F3EE:0
00F3EF	2613	1035632	00F408:0
00F409	2617	1035632	00F415:0
00F416	28	1024715	00F433:0
00F434	1	995463	00F519:0
00F51A	32	995463	00F534:0
00F535	40568	1037492	00F547:0,00F5FA:0
00F60F	4	1034221	00F626:0
00F627	21	1032035	00F634:0
00F635	1114	1031976	00F760:0,00F6CA:0
00F761	349	1034136	00F765:0,00F870:0,00F840:0
00F871	2177	1034136	00F8B0:0
00F8B1	833	1034136	00F923:0
00F924	1344	1032058	00F972:0
00F973	4	1034237	00FA95:0
00FA96	40	1032060	00FB4A:0
00FB4B	21	1032058	00FB94:0
00FB95	1344	1032058	00FBC3:0
00FBC4	309	1034136	00FC1E:0,00FC23:0,00FC75:0
00FC76	1113	1031977	00FCCC:0,00FD21:0
00FD22	1370	1034230	00FD67:0
00FD74	1370	1034230	00FE01:0
00FEBC	61	1032059	00FFAC:0
00FFAD	40	1032059	00FFB3:0
00FFB4	21	1032055	00FFBA:0
00FFBC	1	995434	00FFBF:1
01800C	1	995436	01800F:1
018010	40546	1037492	018013:1
01801C	1	1035682	01801F:1
018028	1036	1002014	01802B:1
01805E	40546	1037492	01806D:0
01806E	1036	1002014	018077:0
018078	1	995436	0180B1:0
0182BB	2	1035682	0182BF:0
01873A	1	995423	01873E:0
01873F	1	995436	018748:0
018749	1	995436	01874D:0
0187B4	3	995436	0187B8:0
019592	1	995436	0195CB:0
0195CC	1	995436	0195F7:0
01979B	1	995434	0197D2:0
019917	1	995436	019942:0
019924	1	995423	019942:0
019950	4	995435	01996C:0
019982	1	995435	0199B7:0
019AE9	1	995436	019B12:0
019B17	1	995436	019B60:0
01B9A0	3	995436	019012:0
01E69C	2	1001750	01E6F7:1
01E8BD	2	1001445	01E904:1
01E905	2	1001445	01E90B:0
01E90C	2	1001445	01E957:0
01E958	2	1001445	01E987:0
01E988	2	1001567	01E9CE:1
01E9D4	2	1001446	01EA68:1
