# addr	name	type	m	x	e	comment
008000	program_start	code				program start
008078	DmaBufferToVram	code				One-shot VRAM DMA. $1D=VMADDR word, $1F=src, $21=src bank, $22=byte count (callers stage it in $DE).
0080A0	field_main	code				field main
008186	WaitVblank_far	code				RTL wrapper around WaitVblank.
00818A	WaitVblank	code				Menu frame boundary. Polls RDNMI, and `inc $16a3` here is the only per-frame tick menus have - NMI is disabled ($4200=0) while a menu is up, so $0092A5 never runs. Menu loops iterate a variable number of times per frame; count frames off $16A3, not loop calls.
0081F4	check_menu	code				check menu
008290	init_new_game	code				init new game
0082A5	UpdateCtrlAfterScroll	code				Post-scroll input fixup; called by the rolling engine's finish_scroll.
0082C0	ReadCtrlAndDispatch	code				Joypad read + dispatch. Runs once per frame while input flows but ~20 times inside the frame that ends a scroll animation - not a frame tick.
008302	update_player_movement_speed	code				update player movement speed
008313	load_map	code				load map
00834E	init_map_ram	code				init map ram
0083A4	load_sub_map	code				load sub-map
008452	reload_sub_map	code				reload sub-map
008502	load_overworld	code				load overworld
00853C	load_underground	code				load underground
008574	load_moon	code				load moon
0085AB	init_world_map	code				init world map
0085DB	remove_float	code				remove float
0085EF	screen_off	code				screen off
0085FA	title_screen	code				title screen
0087B4	AToXViaScratch43	code				sta $43 / ldx $43.
00883D	load_title_screen_bg_graphics	code				load title screen bg graphics
00885E	transfer_title_screen_crystal_tilemap_to_vram	code				transfer title screen crystal tilemap to vram
008890			1	0	0	
0088E2	next_sprite	code				next sprite
0088EB	battle_world_map	code				battle (world map)
008918	battle_sub_map	code				battle (sub-map)
008959	battle	code				battle
0089EF	init_interrupt_jump_code	code				init interrupt jump code
008A0A	fade_out_for_menu	code				fade out for menu
008A13	reload_graphics_after_menu	code				reload graphics after menu
008A60	load_cave_water_graphics	code				load cave water graphics
008A96	transfer_cave_water_graphics_to_vram	code				transfer cave water graphics to vram
008AC6	update_cave_animated_water	code				update cave animated water
008B1F	rotate_word	code				rotate word
008B2C	init_dma	code				init dma
008B38	execute_dma	code				execute dma
008B3E	update_random_battle	code				update random battle
008CB7	update_battle_parameters	code				update battle parameters
008CD6	get_battle_bg_sub_map	code				get battle bg (sub-map)
008CF2	choose_random_battle	code				choose random battle
008D4B	fade_out_music_fast	code				fade out music (fast)
008D55	fade_out_music_slow	code				fade out music (slow)
008D5F	play_map_song	code				play map song
008D9B	play_sound_effect	code				play sound effect
008DB2	fade_in	code				fade in
008DD3	fade_out	code				fade out
008DFE	wait_for_key_up	code				wait for key up
008E07	wait_for_keypress	code				wait for keypress
008E10	transfer_water_lava_tile_to_vram	code				transfer water/lava tile to vram
008E49	update_water_lava_animation	code				update water/lava animation
008E59	transfer_water_lava_graphics_to_vram	code				transfer water/lava graphics to vram
008E69	transfer_overworld_water_graphics_to_vram	code				transfer overworld water graphics to vram
008EC6	transfer_underground_lava_graphics_from_vram	code				transfer underground lava graphics from vram
008EE5	update_underground_lava_animation	code				update underground lava animation
008F36	transfer_underground_lava_graphics_to_vram	code				transfer underground lava graphics to vram
008F6B	transfer_overworld_water_graphics_from_vram	code				transfer overworld water graphics from vram
008FA3	update_overworld_water_animation	code				update overworld water animation
009013	DrawEquipItemName	code				Hijacked -> items_menu_vwf.draw_field_item_name.
009060	DrawItemName	code				Hijacked -> items_menu_vwf.draw_field_item_name.
0090BC	calculate_mode_7_rotation_parameters	code				calculate mode 7 rotation parameters
0090D2	calculate_mode_7_trig_function	code				calculate mode 7 trig function
009106	update_mode_7_registers	code				update mode 7 registers
00912F			1	0	0	
00913E	wait_for_vblank_short	code				wait for vblank (short)
00914D			1	0	0	
009179	reset_all_sprites	code				reset all sprites
009197	reset_sprites_0_63	code				reset sprites 0-63
0091B5	load_world_map_palette	code				load world map palette
0091CC	update_screen_wipe_irq	code				update screen wipe (irq)
009206	update_screen_wipe_nmi	code				update screen wipe (nmi)
009241	screen_wipe_out	code				screen wipe (out)
00926B	screen_wipe_in	code				screen wipe (in)
00929E	asl	code				asl
0092A5	NMIHandler	code				Vectored via the RAM stub at $00:0200. NOT reached while a menu is open - menus disable NMI and poll RDNMI in WaitVblank instead.
00943A	TfrBg4TilesVblank	code				Pushes the BG4 staging buffer $7E:C600 -> VRAM word $7800. Drops list rides this; drained off drops_rolling.transfer_pending.
009447	TfrBg3TilesVblank	code				Pushes the BG3 staging buffer $7E:D600 -> VRAM word $7000. Treasure inventory rides this; drained off treasure_rolling.transfer_pending.
009480	field_irq	code				field irq
0094C2	draw_world_map_sprites	code				draw world map sprites
0094F0	init_character_properties	code				init character properties
009535	travel_from_overworld_to_underground	code				travel from overworld to underground
00973D	load_vehicle_graphics	code				load vehicle graphics
009794	load_sprite_graphics_world_map	code				load sprite graphics (world map)
0097A4	load_sprite_graphics_sub_map	code				load sprite graphics (sub-map)
0097B5	do_poison_damage	code				do poison damage
009801	do_floor_damage	code				do floor damage
00984E	check_treasures_and_npcs	code				check treasures and npcs
009879	check_treasures	code				check treasures
0099FD	give_gp	code				give gp
009A38	give_item	code				give item
009AEB	get_treasure_chest_tiles	code				get treasure chest tiles
009B0F			1	0	0	
009B21			1	0	0	
009B44	get_treasure_switch_id	code				get treasure switch id
009B5D	get_pointer_to_treasure_properties	code				get pointer to treasure properties
009B80	init_map_treasures	code				init map treasures
009BD1	check_triggers_sub_map	code				check triggers (sub-map)
009CED	push_map_to_stack	code				push map to stack
009D36	check_triggers_world_map	code				check triggers (world map)
009E3D	board_exit_vehicle	code				board/exit vehicle
009F6E	update_local_tile_properties	code				update local tile properties
009FC2	get_tile_properties	code				get tile properties
00A016	animate_4_frames	code				animate 4 frames
00A02B	animate_8_frames	code				animate 8 frames
00A040	board_chocobo	code				board chocobo
00A04B	board_black_chocobo	code				board black chocobo
00A07D	get_off_chocobo	code				get off chocobo
00A105	DrawItemCursors	code				Cursor sprites: drops cursor -> OAM staging $0300, inventory cursor -> $0310. X = ($1B22 ? $6C : 0) + 4, Y from $1B23 * 16 + $36.
00A122	land_black_chocobo	code				land black chocobo
00A15C	DrawTreasureList	code				Vanilla 4x2 drops grid over $7E:FF28. Replaced by drops_init / drops_refresh_slots at $01:D80E and $01:D92D.
00A160	board_ship	code				board ship
00A16A	board_hovercraft	code				board hovercraft
00A19A	vehicle_appearing_animation	code				vehicle appearing animation
00A1E0	land_hovercraft	code				land hovercraft
00A215	board_enterprise	code				board enterprise
00A285	board_falcon	code				board falcon
00A2ED	enter_big_whale	code				enter big whale
00A301	board_big_whale	code				board big whale
00A555	load_moon_graphics_telescope	code				load moon graphics (telescope)
00A580	draw_star_sprites	code				draw star sprites
00A60D	land_enterprise_pick_up_hovercraft	code				land enterprise / pick up hovercraft
00A6F4	drop_hovercraft	code				drop hovercraft
00A72F	pick_up_hovercraft	code				pick up hovercraft
00A75C	land_falcon	code				land falcon
00A873	move_player	code				move player
00A943	check_player_movement_sub_map	code				check player movement (sub-map)
00AA42	open_door	code				open door
00AA5A	check_tile_passability	code				check tile passability
00AA96	check_if_blocked_by_npc	code				check if blocked by npc
00AADA	set_player_position_in_npc_map	code				set player position in npc map
00AB15	clear_player_position_in_npc_map	code				clear player position in npc map
00AB31	get_bg1_tilemap_vram_address	code				get bg1 tilemap vram address
00AB62	get_open_door_tiles	code				get open door tiles
00AB86	check_player_movement_world_map	code				check player movement (world map)
00AC7F	check_if_blocked_by_vehicle	code				check if blocked by vehicle
